Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,11,symmetric,symmetric,0.37600123099850646
75% Corpus,11,asymmetric,0.25,0.3792799252272335
75% Corpus,11,asymmetric,0.5,0.3858216761804245
75% Corpus,11,asymmetric,0.75,0.38184758336371
75% Corpus,11,asymmetric,1.0,0.372579152113865
75% Corpus,11,asymmetric,symmetric,0.3823832163441006
75% Corpus,12,0.25,0.25,0.3548917100256704
75% Corpus,12,0.25,0.5,0.35843151536301215
75% Corpus,12,0.25,0.75,0.34870794310548464
75% Corpus,12,0.25,1.0,0.3648846926284784
75% Corpus,12,0.25,symmetric,0.35805669934214873
75% Corpus,12,0.5,0.25,0.33959839134002495
75% Corpus,12,0.5,0.5,0.3414190102862655
75% Corpus,12,0.5,0.75,0.34870740007124695
75% Corpus,12,0.5,1.0,0.3558901898999851
75% Corpus,12,0.5,symmetric,0.3347580987828243
75% Corpus,12,0.75,0.25,0.3519099883580275
75% Corpus,12,0.75,0.5,0.35200878210507264
75% Corpus,12,0.75,0.75,0.37571826331741565
75% Corpus,12,0.75,1.0,0.373446072293947
75% Corpus,12,0.75,symmetric,0.34682879610067247
75% Corpus,12,1.0,0.25,0.3529556935789074
75% Corpus,12,1.0,0.5,0.3593386629254702
75% Corpus,12,1.0,0.75,0.3620450892720888
75% Corpus,12,1.0,1.0,0.36150054224192424
75% Corpus,12,1.0,symmetric,0.33842261475466134
75% Corpus,12,symmetric,0.25,0.3785253176804198
75% Corpus,12,symmetric,0.5,0.38118483374782386
75% Corpus,12,symmetric,0.75,0.3757882871467156
75% Corpus,12,symmetric,1.0,0.3897326707577409
75% Corpus,12,symmetric,symmetric,0.3703232078803707
75% Corpus,12,asymmetric,0.25,0.3674493572107543
75% Corpus,12,asymmetric,0.5,0.3833369090155178
75% Corpus,12,asymmetric,0.75,0.3792037648096909
75% Corpus,12,asymmetric,1.0,0.3785983566761401
75% Corpus,12,asymmetric,symmetric,0.36423770219093804
75% Corpus,13,0.25,0.25,0.34673189692056555
75% Corpus,13,0.25,0.5,0.34771882330762083
75% Corpus,13,0.25,0.75,0.3444461341022491
75% Corpus,13,0.25,1.0,0.3556599794238261
